age,daily_steps,sleep_hours,resting_heart_rate,daily_calorie_balance,gender_Male,cluster
56,5872,10.0,60.2,361.2,False,0
69,3365,3.0,75.2,96.9,True,2
46,7440,7.3,68.5,107.6,False,0
32,3631,10.0,72.5,-461.6,True,1
60,9292,4.4,77.1,-146.9,False,0
25,7387,3.0,64.2,78.3,False,0
38,11769,10.0,67.8,-15.6,True,1
56,6509,10.0,66.9,-207.9,True,1
36,7439,3.0,82.9,-253.8,True,2
40,3091,10.0,70.1,217.8,True,1
28,4187,10.0,71.6,230.1,False,0
28,2463,6.6,58.4,494.7,False,0
41,10732,7.0,77.3,97.9,True,1
53,6121,10.0,74.3,-1038.1,True,1
57,11481,3.0,61.6,1179.1,True,2
41,0,10.0,89.2,-4.4,False,0
20,12144,10.0,73.4,-205.0,True,1
39,7295,3.0,63.8,-29.1,False,0
19,8519,3.0,70.0,-198.0,False,0
41,4311,3.0,66.3,-409.4,False,0
61,9081,3.0,85.4,307.3,True,2
47,6378,9.6,79.3,-74.3,False,0
55,3918,3.0,74.5,-44.7,True,2
19,3877,10.0,87.2,-1251.4,True,1
38,3823,3.0,59.6,-113.2,False,0
50,8640,10.0,77.8,-538.3,False,0
29,5593,10.0,75.5,-261.2,True,1
39,2579,3.0,67.7,118.1,True,2
61,8607,10.0,67.7,-306.8,True,1
42,981,7.8,79.2,-237.8,True,1
66,11487,10.0,78.5,48.3,True,1
44,13459,3.0,55.8,-253.3,True,2
59,3562,5.5,88.2,-527.7,True,2
45,10657,3.0,81.4,-860.8,False,0
33,8547,7.4,67.2,168.3,False,0
32,5999,10.0,62.1,-258.3,False,0
64,6139,3.0,81.1,-832.8,True,2
68,9463,3.4,75.0,622.8,False,0
61,7380,10.0,77.2,169.0,False,0
69,0,10.0,75.7,-594.0,False,0
20,13719,10.0,82.1,-352.3,False,0
54,8799,5.6,78.6,523.2,False,0
68,7343,4.7,64.7,-87.7,False,0
24,5344,10.0,64.1,-209.2,True,1
38,6933,9.3,73.6,375.3,False,0
26,11307,3.0,92.9,-83.9,False,0
56,8284,10.0,68.5,614.8,False,0
35,8626,3.0,73.6,-206.4,False,0
21,3752,3.0,78.9,-285.2,True,2
42,6451,3.0,65.8,8.3,True,2
31,7653,4.8,78.0,482.3,False,0
67,9589,3.0,70.1,124.8,False,0
26,6252,3.0,82.5,51.8,False,0
43,10283,3.4,60.6,-403.7,True,2
19,4066,3.0,93.1,-477.2,True,2
37,7708,5.5,66.9,482.9,False,0
45,7207,3.0,75.2,535.4,False,0
64,2953,10.0,70.0,519.3,False,0
24,7356,10.0,59.2,395.5,True,1
61,5752,3.0,78.3,223.3,False,0
25,11741,6.4,67.4,215.6,True,2
64,6269,10.0,75.3,66.8,False,0
52,8552,10.0,61.9,281.0,True,1
31,3806,3.0,67.4,-20.8,True,2
34,8209,3.0,67.1,279.6,False,0
53,6254,3.0,75.5,458.8,False,0
67,5171,3.0,73.1,-628.9,True,2
57,16001,3.0,68.2,548.2,False,0
21,6439,7.3,66.3,-28.9,True,1
19,6864,10.0,73.1,729.1,True,1
23,10205,10.0,72.0,635.2,True,1
59,5194,3.7,71.3,-515.4,True,2
21,8709,3.0,89.7,0.3,False,0
46,9030,3.0,75.5,-932.9,True,2
35,8234,3.0,89.2,-193.0,True,2
43,14389,3.0,69.3,177.9,False,0
61,5087,10.0,69.5,423.5,True,1
51,12112,3.0,64.9,34.6,False,0
27,8916,10.0,73.0,221.4,True,1
53,10228,3.0,66.7,-351.2,False,0
31,8523,10.0,65.3,-9.5,True,1
48,13134,5.6,51.0,-295.1,True,2
65,6539,10.0,84.7,141.3,True,1
32,8991,3.0,66.2,694.9,True,2
25,11416,3.0,84.7,-28.5,True,2
31,5823,3.3,69.0,-685.5,False,0
40,10501,5.5,76.4,98.1,False,0
57,7444,3.5,70.7,352.7,False,0
38,3795,3.7,74.1,-459.0,False,0
33,3145,3.6,59.9,620.9,True,2
62,7227,3.0,81.8,-298.2,True,2
35,10472,10.0,66.3,-380.1,True,1
64,1263,10.0,79.3,-890.3,True,1
41,8101,10.0,55.4,134.4,False,0
43,10177,3.0,62.5,908.0,False,0
42,3666,3.0,73.7,183.4,True,2
62,5598,10.0,68.4,-367.1,True,1
58,9217,10.0,74.6,256.6,False,0
46,10045,4.2,72.1,400.2,False,0
32,12312,10.0,88.3,580.3,True,1
62,5740,3.0,75.4,-617.5,False,0
18,5053,10.0,65.7,776.5,False,0
42,12458,9.4,66.1,106.7,True,1
24,5235,3.0,82.0,876.6,True,2
26,9021,3.0,54.7,77.8,False,0
41,14049,8.2,75.6,288.4,False,0
18,9758,10.0,58.8,-474.3,False,0
61,9849,4.7,81.1,492.4,True,2
25,11334,3.0,65.7,-538.5,True,2
41,9074,8.9,75.3,134.4,False,0
28,9864,10.0,70.4,-215.3,False,0
68,6472,10.0,56.1,-44.1,True,1
34,10979,10.0,76.4,542.6,False,0
25,8740,10.0,62.8,-177.5,False,0
52,3065,10.0,78.0,552.8,False,0
52,8228,3.0,60.0,-203.5,False,0
50,991,3.0,72.4,65.5,False,0
22,9641,3.0,70.4,1074.9,True,2
59,6799,3.0,64.0,60.9,False,0
56,13216,10.0,83.8,-37.9,True,1
58,8968,10.0,70.3,70.0,False,0
45,10272,8.8,65.8,-165.1,True,1
24,4352,3.0,73.0,-500.7,False,0
26,9553,10.0,55.4,1029.6,True,1
25,5578,3.0,94.5,-203.2,True,2
29,10771,10.0,59.1,-761.2,True,1
51,4144,7.5,75.5,-77.7,True,1
50,7829,9.1,70.6,178.4,False,0
65,4026,10.0,81.8,-103.9,False,0
40,7877,3.0,71.8,-24.4,False,0
41,13567,10.0,63.6,-82.0,True,1
54,9663,3.0,51.4,212.8,True,2
52,7402,3.0,52.2,409.5,True,2
61,113,10.0,67.6,-96.2,True,1
57,5892,10.0,83.7,1294.8,False,0
39,8923,10.0,53.3,520.4,True,1
44,5967,7.7,88.5,-2.7,True,1
52,11781,10.0,80.9,-659.2,True,1
18,7714,3.0,56.5,57.1,True,2
52,10735,3.0,59.1,406.9,False,0
54,8114,10.0,60.2,410.8,False,0
64,6672,3.0,73.0,-926.3,True,2
31,6086,5.0,69.4,57.7,True,2
20,4463,10.0,69.1,-240.3,True,1
18,10789,10.0,65.0,748.6,True,1
22,6215,7.1,71.8,61.8,True,1
43,9066,3.0,78.4,-1142.1,False,0
31,5922,9.0,68.7,184.2,False,0
56,4250,10.0,63.4,-974.9,False,0
44,9165,3.0,79.9,225.1,True,2
26,5259,10.0,67.8,1293.6,True,1
32,6298,10.0,75.5,680.2,False,0
32,3753,4.8,69.0,129.4,False,0
43,6020,7.7,80.9,-329.7,False,0
59,7572,10.0,82.3,637.1,True,1
30,6637,10.0,82.0,317.9,False,0
68,9954,10.0,64.5,-133.4,True,1
